1,Disease,Symptoms,Medicine Name
2,Fungal infection,"Redness, skin itching, peeling skin, scaling","Clotrimazole, Miconazole, Ketoconazole, or Fluconazole"
3,Allergy,"Sneezing, runny nose, hives, and skin rashes","Cetirizine, Loratadine, Fexofenadine, or Levocetirizine."
4,GERD,"Heartburn (burning chest pain), acid regurgitation, sour taste in the mouth, and difficulty swallowing.","Omeprazole, Pantoprazole, or Esomeprazole, and H2 blockers like Famotidine. [1, 2]"
5,Hypertension (High Blood Pressure),"Often asymptomatic, but can cause headaches, dizziness, or blurry vision.","Amlodipine, Losartan, Telmisartan, Enalapril, Lisinopril, or Metoprolol."
6,Diabetes,"Excessive thirst, frequent urination, unexplained weight loss, or fatigue.","Metformin, Glimepiride, Sitagliptin, Empagliflozin, or Insulin therapies."
7,Bronchial Asthma,"Wheezing, shortness of breath, chest tightness, or dry coughing","Albuterol (Salbutamol), Budesonide inhalers, Fluticasone, or Montelukast tablets."
8,Peptic Ulcer Disease,"Burning stomach pain, bloating, indigestion, nausea, or dark stools.","Amoxicillin + Clarithromycin (for H. pylori), Pantoprazole, or Sucralfate."
9,Common Cold,"Runny nose, sneezing, sore throat, mild fever","Paracetamol, Cetirizine, Levocetirizine, or Steam Inhalation"
10,Influenza (Flu),"High fever, body ache, chills, cough","Oseltamivir, Paracetamol, and adequate fluids"
11,Migraine,"Severe headache, nausea, sensitivity to light","Sumatriptan, Ibuprofen, Naproxen, or Paracetamol"
12,"Tension Headache,","Mild to moderate head pain, tightness around forehead","Paracetamol, Ibuprofen, or Aspirin"
13,Sinusitis,"Facial pain, nasal congestion, headache","Amoxicillin, Azithromycin, Cetirizine, and Steam Inhalation"
14,Bronchitis,"Persistent cough, mucus, chest discomfort","Azithromycin, Ambroxol, Dextromethorphan, or Salbutamol"
15,Pneumonia,"Fever, productive cough, shortness of breath","Amoxicillin-Clavulanate, Azithromycin, or Cefixime"
16,Tuberculosis,"Chronic cough, night sweats, weight loss","Isoniazid, Rifampicin, Pyrazinamide, Ethambutol"
17,COVID-19,"Fever, dry cough, loss of taste or smell","Paracetamol, Vitamin C, Zinc, and supportive care"
18,Conjunctivitis,"Red eyes, itching, watery discharge","Moxifloxacin eye drops, Lubricating drops"
19,"Urinary Tract Infection (UTI),","Burning urination, frequent urination, lower abdominal pain","Nitrofurantoin, Ciprofloxacin, or Cefixime"
20,"Kidney Stones,","Severe flank pain, nausea, blood in urine","Tamsulosin, Diclofenac, Potassium Citrate"
21,Constipation,"Hard stools, infrequent bowel movements","Lactulose, Polyethylene Glycol, Isabgol"
22,Diarrhea,"Loose stools, abdominal cramps","ORS, Loperamide, Racecadotril"
23,Food Poisoning,"Vomiting, diarrhea, stomach cramps","ORS, Ondansetron, Metronidazole"
24,Hemorrhoids (Piles),"Rectal pain, bleeding during stool","Hydrocortisone cream, Lactulose, Sitz bath"
25,Hypothyroidism,"Fatigue, weight gain, cold intolerance",Levothyroxine
26,Hyperthyroidism,"Weight loss, palpitations, tremors","Carbimazole, Propranolol"
27,Anemia,"Fatigue, pale skin, dizziness","Ferrous Sulfate, Folic Acid, Vitamin B12"
28,Vitamin D Deficiency,"Bone pain, muscle weakness","Cholecalciferol (Vitamin D3), Calcium"
29,Vitamin B12 Deficiency,"Numbness, fatigue, memory issues","Methylcobalamin, Cyanocobalamin"
30,Arthritis,"Joint pain, swelling, stiffness","Ibuprofen, Diclofenac, Celecoxib"
31,Osteoarthritis,"Knee pain, reduced mobility","Paracetamol, Glucosamine, Diclofenac gel"
32,Rheumatoid Arthritis,"Symmetrical joint swelling, morning stiffness","Methotrexate, Hydroxychloroquine, Prednisolone"
33,"Gout,","Sudden severe joint pain, usually in big toe","Colchicine, Allopurinol, Febuxostat"
34,Back Pain,"Lower back pain, stiffness","Paracetamol, Ibuprofen, Muscle relaxants"
35,Muscle Cramps,Sudden painful muscle tightening,"Magnesium supplements, ORS"
36,Depression,"Low mood, loss of interest, fatigue","Sertraline, Fluoxetine, Escitalopram"
37,Anxiety Disorder,"Excessive worry, restlessness, palpitations","Alprazolam, Clonazepam, Escitalopram"
38,Insomnia,Difficulty falling or staying asleep,"Melatonin, Zolpidem"
39,Epilepsy,"Seizures, loss of consciousness","Sodium Valproate, Levetiracetam, Carbamazepine"
40,Vertigo,"Spinning sensation, nausea","Betahistine, Prochlorperazine"
41,Motion Sickness,"Nausea, dizziness during travel","Dimenhydrinate, Meclizine"
42,Acne,"Pimples, oily skin, blackheads","Benzoyl Peroxide, Clindamycin gel, Isotretinoin"
43,Eczema,"Dry itchy skin, rash","Hydrocortisone cream, Moisturizers"
44,Psoriasis,Scaly plaques on skin,"Coal Tar, Calcipotriol, Methotrexate"
45,Chickenpox,"Itchy blisters, fever","Calamine lotion, Acyclovir"
46,Dengue Fever,"High fever, body pain, rash","Paracetamol, ORS, fluid support"
47,Malaria,"Fever with chills, sweating","Artemether-Lumefantrine, Chloroquine"
48,Jaundice (Hepatitis),"Yellow eyes, dark urine, fatigue","Supportive care, antiviral treatment depending on cause"
49,Appendicitis,"Right lower abdominal pain, fever","Surgical treatment, antibiotics"
50,Dry Eye Syndrome,"Burning eyes, gritty sensation",Carboxymethylcellulose eye drops
